idbacia;nomebacia;area_ha;Malha_km;Calha_km;Decliv_m_km;Dd_km_km2;Kc;Kf;HI;Classificacao_Hipsometrica;Area_Plano_ha;Area_SuaveOndulado_ha;Area_Ondulado_ha;Area_ForteOndulado_ha;Ano;Classe_Uso;Percentual
1.0;Morcego;113353.0;202.0;22.0;1.791;0.175;1.936;0.26308;0.252;Senectude;83203.0;17220.0;1102.0;0.0;2000;Pct_Floresta;79.41
5.0;Piria;179142.0;6217.0;308.0;0.47;1.152;2.615;0.06119;0.276;Senectude;126014.0;42380.0;8531.0;124.929;2000;Pct_Floresta;75.0
6.0;Urumajo;177831.0;422.0;63.0;1.182;0.151;2.087;0.10536;0.272;Senectude;137046.0;23288.0;1838.0;4.739;2000;Pct_Floresta;86.55
10.0;Taperacu;72519.0;124.0;29.0;0.97;0.236;2.151;0.14417;0.163;Senectude;59254.0;3212.0;321.0;0.0;2000;Pct_Floresta;73.08
11.0;Quatipuru;95041.0;1147.0;65.0;0.785;1.207;1.845;0.22366;0.321;Senectude;73531.0;16950.0;1648.0;0.715;2000;Pct_Floresta;70.43
17.0;Marapanim;204434.0;1785.0;125.0;0.378;0.872;1.948;0.13026;0.429;Maturidade;170450.0;27065.0;1668.0;0.895;2000;Pct_Floresta;65.09
34.0;Maracana;298068.0;3221.0;138.0;0.334;1.08;1.944;0.15761;0.427;Maturidade;226999.0;59727.0;4003.0;1.072;2000;Pct_Floresta;61.12
58.0;Caete;219874.0;2514.0;142.0;0.487;1.143;2.393;0.10929;0.436;Maturidade;161485.0;47077.0;6622.0;14.311;2000;Pct_Floresta;73.74
4685.0;Caripi;84151.0;868.0;70.0;0.804;1.03;2.473;0.17297;0.364;Maturidade;63241.0;14229.0;669.0;0.268;2000;Pct_Floresta;76.18
589798.0;Apeu;91609.0;1054.0;46.0;1.073;1.149;1.963;0.43616;0.438;Maturidade;72807.0;15529.0;1381.0;0.538;2000;Pct_Floresta;55.09
589909.0;Guama;213705.0;15163.0;515.0;0.23;1.032;2.824;0.05549;0.268;Senectude;129766.0;63916.0;16204.0;202.347;2000;Pct_Floresta;72.15
